Fecha;Valor UF
09-oct-24;37,944.50
08-oct-24;37,940.71
07-oct-24;37,936.93
06-oct-24;37,933.14
05-oct-24;37,929.35
04-oct-24;37,925.56
03-oct-24;37,921.78
02-oct-24;37,917.99
01-oct-24;37,914.20
30-sept-24;37,910.42
29-sept-24;37,906.63
28-sept-24;37,902.85
27-sept-24;37,899.07
26-sept-24;37,895.28
25-sept-24;37,891.50
24-sept-24;37,887.71
23-sept-24;37,883.93
22-sept-24;37,880.15
21-sept-24;37,876.37
20-sept-24;37,872.58
19-sept-24;37,868.80
18-sept-24;37,865.02
17-sept-24;37,861.24
16-sept-24;37,857.46
15-sept-24;37,853.68
14-sept-24;37,849.90
13-sept-24;37,846.12
12-sept-24;37,842.34
11-sept-24;37,838.57
10-sept-24;37,834.79
09-sept-24;37,831.01
08-sept-24;37,822.49
07-sept-24;37,813.98
06-sept-24;37,805.48
05-sept-24;37,796.97
04-sept-24;37,788.47
03-sept-24;37,779.96
02-sept-24;37,771.46
01-sept-24;37,762.97
31-ago-24;37,754.47
30-ago-24;37,745.97
29-ago-24;37,737.48
28-ago-24;37,728.99
27-ago-24;37,720.50
26-ago-24;37,712.02
25-ago-24;37,703.53
24-ago-24;37,695.05
23-ago-24;37,686.57
22-ago-24;37,678.09
21-ago-24;37,669.61
20-ago-24;37,661.13
19-ago-24;37,652.66
18-ago-24;37,644.19
17-ago-24;37,635.72
16-ago-24;37,627.25
15-ago-24;37,618.79
14-ago-24;37,610.32
13-ago-24;37,601.86
12-ago-24;37,593.40
11-ago-24;37,584.94
10-ago-24;37,576.48
09-ago-24;37,568.03
08-ago-24;37,569.25
07-ago-24;37,570.46
06-ago-24;37,571.67
05-ago-24;37,572.88
04-ago-24;37,574.10
03-ago-24;37,575.31
02-ago-24;37,576.52
01-ago-24;37,577.74
31-jul-24;37,578.95
30-jul-24;37,580.16
29-jul-24;37,581.37
28-jul-24;37,582.59
27-jul-24;37,583.80
26-jul-24;37,585.01
25-jul-24;37,586.23
24-jul-24;37,587.44
23-jul-24;37,588.65
22-jul-24;37,589.87
21-jul-24;37,591.08
20-jul-24;37,592.29
19-jul-24;37,593.51
18-jul-24;37,594.72
17-jul-24;37,595.93
16-jul-24;37,597.15
15-jul-24;37,598.36
14-jul-24;37,599.57
13-jul-24;37,600.79
12-jul-24;37,602.00
11-jul-24;37,603.21
10-jul-24;37,604.43
09-jul-24;37,605.64
08-jul-24;37,601.88
07-jul-24;37,598.13
06-jul-24;37,594.38
05-jul-24;37,590.62
04-jul-24;37,586.87
03-jul-24;37,583.12
02-jul-24;37,579.36
01-jul-24;37,575.61
30-jun-24;37,571.86
29-jun-24;37,568.11
28-jun-24;37,564.36
27-jun-24;37,560.61
26-jun-24;37,556.86
25-jun-24;37,553.11
24-jun-24;37,549.36
23-jun-24;37,545.61
22-jun-24;37,541.86
21-jun-24;37,538.11
20-jun-24;37,534.36
19-jun-24;37,530.62
18-jun-24;37,526.87
17-jun-24;37,523.12
16-jun-24;37,519.38
15-jun-24;37,515.63
14-jun-24;37,511.88
13-jun-24;37,508.14
12-jun-24;37,504.39
11-jun-24;37,500.65
10-jun-24;37,496.90
09-jun-24;37,493.16
08-jun-24;37,487.13
07-jun-24;37,481.10
06-jun-24;37,475.07
05-jun-24;37,469.04
04-jun-24;37,463.01
03-jun-24;37,456.99
02-jun-24;37,450.96
01-jun-24;37,444.94
31-may-24;37,438.91
30-may-24;37,432.89
29-may-24;37,426.87
28-may-24;37,420.85
27-may-24;37,414.83
26-may-24;37,408.81
25-may-24;37,402.79
24-may-24;37,396.77
23-may-24;37,390.76
22-may-24;37,384.74
21-may-24;37,378.73
20-may-24;37,372.71
19-may-24;37,366.70
18-may-24;37,360.69
17-may-24;37,354.68
16-may-24;37,348.67
15-may-24;37,342.66
14-may-24;37,336.65
13-may-24;37,330.65
12-may-24;37,324.64
11-may-24;37,318.64
10-may-24;37,312.63
09-may-24;37,306.63
08-may-24;37,301.67
07-may-24;37,296.70
06-may-24;37,291.74
05-may-24;37,286.78
04-may-24;37,281.82
03-may-24;37,276.86
02-may-24;37,271.90
01-may-24;37,266.94
30-abr-24;37,261.98
29-abr-24;37,257.02
28-abr-24;37,252.06
27-abr-24;37,247.11
